reaction	taxon	effector	direction	elasticity	type
EX_glc__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_h2o_m	medium	EX_h_m	reverse	-18.635189866919635	exchanges
EX_14glucan_m	medium	EX_h_m	zero	0.0	exchanges
EX_h_m	medium	EX_h_m	reverse	0.999999904837523	exchanges
EX_2pglyc_m	medium	EX_h_m	zero	0.0	exchanges
EX_34dhbz_m	medium	EX_h_m	zero	0.0	exchanges
EX_34dhcinm_m	medium	EX_h_m	zero	0.0	exchanges
EX_leu__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_3hoxpac_m	medium	EX_h_m	zero	0.0	exchanges
EX_3hpp_m	medium	EX_h_m	zero	0.0	exchanges
EX_3oxoadp_m	medium	EX_h_m	zero	0.0	exchanges
EX_4hbz_m	medium	EX_h_m	zero	0.0	exchanges
EX_4hoxpacd_m	medium	EX_h_m	zero	0.0	exchanges
EX_ala__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_4hthr_m	medium	EX_h_m	zero	0.0	exchanges
EX_cl_m	medium	EX_h_m	reverse	0.0005703414005076013	exchanges
EX_arab__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_abt__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_4abut_m	medium	EX_h_m	zero	0.0	exchanges
EX_acac_m	medium	EX_h_m	zero	0.0	exchanges
EX_acald_m	medium	EX_h_m	zero	0.0	exchanges
EX_ac_m	medium	EX_h_m	zero	0.0	exchanges
EX_chol_m	medium	EX_h_m	zero	0.0	exchanges
EX_acnam_m	medium	EX_h_m	zero	0.0	exchanges
EX_acon_m	medium	EX_h_m	zero	0.0	exchanges
EX_pi_m	medium	EX_h_m	reverse	0.0005708251376046469	exchanges
EX_acser_m	medium	EX_h_m	zero	0.0	exchanges
EX_adn_m	medium	EX_h_m	zero	0.0	exchanges
EX_ins_m	medium	EX_h_m	zero	0.0	exchanges
EX_nh4_m	medium	EX_h_m	forward	-8.639851891835058	exchanges
EX_ade_m	medium	EX_h_m	zero	0.0	exchanges
EX_agm_m	medium	EX_h_m	zero	0.0	exchanges
EX_akg_m	medium	EX_h_m	zero	0.0	exchanges
EX_mal__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_alaala_m	medium	EX_h_m	zero	0.0	exchanges
EX_asn__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_cys__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_ala__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_gln__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_gly_m	medium	EX_h_m	zero	0.0	exchanges
EX_ser__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_thr__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_arg__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_alltn_m	medium	EX_h_m	zero	0.0	exchanges
EX_amp_m	medium	EX_h_m	zero	0.0	exchanges
EX_malt_m	medium	EX_h_m	zero	0.0	exchanges
EX_anhgm_m	medium	EX_h_m	zero	0.0	exchanges
EX_arab__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_fe3_m	medium	EX_h_m	reverse	71.69753602583936	exchanges
EX_lys__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_orn_m	medium	EX_h_m	zero	0.0	exchanges
EX_asp__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_phe__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_aso3_m	medium	EX_h_m	zero	0.0	exchanges
EX_aso4_m	medium	EX_h_m	zero	0.0	exchanges
EX_k_m	medium	EX_h_m	reverse	0.0005708147902439009	exchanges
EX_pro__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_ala_B_m	medium	EX_h_m	zero	0.0	exchanges
EX_meoh_m	medium	EX_h_m	zero	0.0	exchanges
EX_btd_RR_m	medium	EX_h_m	zero	0.0	exchanges
EX_btoh_m	medium	EX_h_m	zero	0.0	exchanges
EX_butso3_m	medium	EX_h_m	zero	0.0	exchanges
EX_but_m	medium	EX_h_m	zero	0.0	exchanges
EX_bz_m	medium	EX_h_m	zero	0.0	exchanges
EX_ca2_m	medium	EX_h_m	reverse	0.0005703414005164831	exchanges
EX_chols_m	medium	EX_h_m	zero	0.0	exchanges
EX_chtbs_m	medium	EX_h_m	zero	0.0	exchanges
EX_cit_m	medium	EX_h_m	zero	0.0	exchanges
EX_mg2_m	medium	EX_h_m	reverse	0.000570535762740576	exchanges
EX_mn2_m	medium	EX_h_m	reverse	0.0005671830512632425	exchanges
EX_cobalt2_m	medium	EX_h_m	reverse	0.0005465764197154499	exchanges
EX_zn2_m	medium	EX_h_m	reverse	0.0005634923048525309	exchanges
EX_succ_m	medium	EX_h_m	zero	0.0	exchanges
EX_for_m	medium	EX_h_m	zero	0.0	exchanges
EX_lipa_cold_m	medium	EX_h_m	zero	0.0	exchanges
EX_oxa_m	medium	EX_h_m	forward	-50.21702337165394	exchanges
EX_cmp_m	medium	EX_h_m	zero	0.0	exchanges
EX_co2_m	medium	EX_h_m	forward	-14.350491345493875	exchanges
EX_confrl_m	medium	EX_h_m	zero	0.0	exchanges
EX_4crsol_m	medium	EX_h_m	zero	0.0	exchanges
EX_crn_m	medium	EX_h_m	zero	0.0	exchanges
EX_csn_m	medium	EX_h_m	zero	0.0	exchanges
EX_cu2_m	medium	EX_h_m	reverse	0.0005672759250785475	exchanges
EX_cynt_m	medium	EX_h_m	zero	0.0	exchanges
EX_o2_m	medium	EX_h_m	reverse	0.0	exchanges
EX_glu__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_cytd_m	medium	EX_h_m	zero	0.0	exchanges
EX_diact_m	medium	EX_h_m	zero	0.0	exchanges
EX_dad_2_m	medium	EX_h_m	zero	0.0	exchanges
EX_damp_m	medium	EX_h_m	zero	0.0	exchanges
EX_dca_m	medium	EX_h_m	zero	0.0	exchanges
EX_dcmp_m	medium	EX_h_m	zero	0.0	exchanges
EX_dcyt_m	medium	EX_h_m	zero	0.0	exchanges
EX_dgmp_m	medium	EX_h_m	zero	0.0	exchanges
EX_dgsn_m	medium	EX_h_m	zero	0.0	exchanges
EX_lac__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_dms_m	medium	EX_h_m	zero	0.0	exchanges
EX_dmso_m	medium	EX_h_m	zero	0.0	exchanges
EX_ser__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_dtmp_m	medium	EX_h_m	zero	0.0	exchanges
EX_enlipa_m	medium	EX_h_m	zero	0.0	exchanges
EX_galur_m	medium	EX_h_m	zero	0.0	exchanges
EX_etha_m	medium	EX_h_m	zero	0.0	exchanges
EX_ethso3_m	medium	EX_h_m	zero	0.0	exchanges
EX_etoh_m	medium	EX_h_m	zero	0.0	exchanges
EX_h2_m	medium	EX_h_m	zero	0.0	exchanges
EX_fald_m	medium	EX_h_m	zero	0.0	exchanges
EX_fe2_m	medium	EX_h_m	reverse	72.22011034688393	exchanges
EX_enter_m	medium	EX_h_m	zero	0.0	exchanges
EX_frmd_m	medium	EX_h_m	zero	0.0	exchanges
EX_fru_m	medium	EX_h_m	zero	0.0	exchanges
EX_fum_m	medium	EX_h_m	zero	0.0	exchanges
EX_g3pc_m	medium	EX_h_m	zero	0.0	exchanges
EX_g3pe_m	medium	EX_h_m	zero	0.0	exchanges
EX_g3pg_m	medium	EX_h_m	zero	0.0	exchanges
EX_g3pi_m	medium	EX_h_m	zero	0.0	exchanges
EX_g3ps_m	medium	EX_h_m	zero	0.0	exchanges
EX_galct__D_m	medium	EX_h_m	zero	0.0	exchanges
EX_gthrd_m	medium	EX_h_m	zero	0.0	exchanges
EX_glcn_m	medium	EX_h_m	zero	0.0	exchanges
EX_glcr_m	medium	EX_h_m	zero	0.0	exchanges
EX_glcur_m	medium	EX_h_m	zero	0.0	exchanges
EX_glyc3p_m	medium	EX_h_m	zero	0.0	exchanges
EX_glyb_m	medium	EX_h_m	reverse	-8.672651308582736	exchanges
EX_glyc2p_m	medium	EX_h_m	zero	0.0	exchanges
EX_glyc__R_m	medium	EX_h_m	zero	0.0	exchanges
EX_glyclt_m	medium	EX_h_m	zero	0.0	exchanges
EX_glyc_m	medium	EX_h_m	zero	0.0	exchanges
EX_gmp_m	medium	EX_h_m	zero	0.0	exchanges
EX_gsn_m	medium	EX_h_m	zero	0.0	exchanges
EX_gthox_m	medium	EX_h_m	zero	2.4868993975246667e-07	exchanges
EX_h2o2_m	medium	EX_h_m	zero	0.0	exchanges
EX_gua_m	medium	EX_h_m	zero	0.0	exchanges
EX_h2s_m	medium	EX_h_m	zero	0.0	exchanges
EX_3hcinnm_m	medium	EX_h_m	zero	0.0	exchanges
EX_hexs_m	medium	EX_h_m	zero	0.0	exchanges
EX_his__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_hom__L_m	medium	EX_h_m	zero	0.0	exchanges
EX_4hphac_m	medium	EX_h_m	zero	0.0	exchanges
