	metabolite	taxon_import	flux_import	taxon_export	flux_export
0	glu__L_e	Pseudomonas	-100.0	Rhodococcus	167.01957863962468
34	co2_e	Pseudomonas	-100.0	Polaribacter	50.293778216512806
48	acald_e	Pseudomonas	-100.0	Polaribacter	100.00008557482212
23	glcur_e	Pseudomonas	-100.0	Rhodococcus	100.0
35	co2_e	Pseudomonas	-100.0	Thalassospira	50.548979998030745
21	ala__D_e	Pseudomonas	-100.0	Polaribacter	44.09937562888808
20	ala__D_e	Pseudomonas	-100.0	Alcanivorax	255.90062437111192
17	meoh_e	Pseudomonas	-100.0	Thalassospira	1.846399882613908e-06
16	meoh_e	Pseudomonas	-100.0	Rhodococcus	0.0814344188405705
15	meoh_e	Pseudomonas	-100.0	Polaribacter	100.0
37	mal__L_e	Pseudomonas	-100.0	Rhodococcus	199.8941785993086
38	ser__L_e	Pseudomonas	-100.0	Polaribacter	46.93639577105442
14	id3acald_e	Pseudomonas	-100.0	Rhodococcus	100.0
39	ser__L_e	Pseudomonas	-100.0	Thalassospira	153.06360422894556
43	glyc_e	Pseudomonas	-100.0	Polaribacter	44.22925151599452
44	glyc_e	Pseudomonas	-100.0	Rhodococcus	55.77074848400537
45	asp__L_e	Pseudomonas	-100.0	Polaribacter	6.107620602732906
5	xan_e	Pseudomonas	-100.0	Rhodococcus	100.0
46	asp__L_e	Pseudomonas	-100.0	Thalassospira	198.6312516708425
3	gly_e	Pseudomonas	-100.0	Rhodococcus	400.0
47	acald_e	Pseudomonas	-100.0	Alcanivorax	40.16943432045158
33	co2_e	Pseudomonas	-100.0	Alcanivorax	48.98605648506805
18	gthrd_e	Pseudomonas	-95.53670443492148	Alcanivorax	200.0
19	gthrd_e	Pseudomonas	-95.53670443492148	Polaribacter	95.53670443492148
1	man1p_e	Pseudomonas	-94.83530634322742	Rhodococcus	95.1668864449952
9	pyr_e	Pseudomonas	-67.1070397277025	Rhodococcus	285.8697985776617
11	pacald_e	Pseudomonas	-47.388104183414725	Rhodococcus	47.388104183414725
27	h2o2_e	Pseudomonas	-41.514007097363006	Polaribacter	47.768352217460745
26	h2o2_e	Pseudomonas	-41.514007097363006	Alcanivorax	100.0
24	h2o_e	Pseudomonas	-27.151060402650277	Rhodococcus	134.5409776742448
25	h2o_e	Pseudomonas	-27.151060402650277	Thalassospira	119.1309922585284
49	arab__L_e	Pseudomonas	-15.739243436421134	Polaribacter	20.6746506130886
22	but_e	Pseudomonas	-10.715363753319366	Rhodococcus	10.71536292670807
2	idon__L_e	Pseudomonas	-6.378178522455414	Rhodococcus	6.378178522455414
6	2dhglcn_e	Pseudomonas	-0.885791962675497	Rhodococcus	0.885791962675497
31	orn_e	Pseudomonas	-0.3134646794950413	Thalassospira	0.313464679495155
40	succ_e	Pseudomonas	-0.3079137248956813	Rhodococcus	0.3079137248956813
30	ac_e	Pseudomonas	-0.2094195039991291	Thalassospira	6.541643491349873
7	leu__L_e	Pseudomonas	-0.1193626482231893	Rhodococcus	0.3580889390326547
10	val__L_e	Pseudomonas	-0.1127219824938329	Rhodococcus	0.3369460529163461
12	lys__L_e	Pseudomonas	-0.0909162870633184	Thalassospira	0.3636638343167811
36	uri_e	Pseudomonas	-0.0875532981486398	Thalassospira	0.1920052101534907
42	pro__L_e	Pseudomonas	-0.0585658039135523	Thalassospira	0.2342623692520092
28	phe__L_e	Pseudomonas	-0.0490836835269823	Thalassospira	0.1472503732908272
41	tyr__L_e	Pseudomonas	-0.0365338494784737	Rhodococcus	0.0365338494784737
32	his__L_e	Pseudomonas	-0.0250996680969137	Thalassospira	0.0752986579485114
4	skm_e	Pseudomonas	-0.0152370873275956	Thalassospira	0.1702538065822687
29	thym_e	Pseudomonas	-0.0139187122646256	Rhodococcus	0.0140046047783369
13	fe2_e	Pseudomonas	-0.0017790566749432	Thalassospira	0.0074058008155942
8	pydxn_e	Pseudomonas	-5.908110774569378e-05	Thalassospira	0.0002363235771333
